"Word","Freq_HAL"
"yaws","16"
"ye","7263"
"yea","4245"
"yeah","50018"
"year","246566"
"yearbook","880"
"yearling","101"
"yearlong","16"
"yearly","2845"
"yearn","348"
"yearned","94"
"yearning","567"
"yearningly","7"
"yearnings","89"
"years","348898"
"year's","8255"
"yeast","6894"
"yeasts","385"
"yeasty","44"
"Yeats","402"
"yell","3322"
"yelled","2100"
"yeller","63"
"yelling","2918"
"yellow","19319"
"yellowed","264"
"yellowing","282"
"yellowish","255"
"yelp","212"
"yelped","174"
"yelping","90"
"yelps","77"
"Yemen","630"
"yen","3686"
"yeoman","199"
"yes","197092"
"yesterday","21313"
"yesterday's","1683"
"yet","159994"
"yesteryear","310"
"yeti","2772"
"Yiddish","768"
"yield","6182"
"yielded","918"
"yielding","926"
"yields","2699"
"yin","1221"
"yip","710"
"yippee","226"
"yodel","132"
"yodeling","47"
"yoga","1985"
"yogurt","1279"
"yoke","996"
"yokel","53"
"yokels","60"
"yolk","324"
"yon","279"
"yonder","291"
"Yonkers","323"
"yore","383"
"York","79856"
"Yorker's","16"
"York's","523"
"Yorkshire","1389"
"Yorktown","532"
"Yosemite","617"
"you","5030485"
"you'd","41121"
"you'll","88349"
"young","66849"
"younger","10673"
"youngest","1536"
"youngish","63"
"young's","451"
"youngster","508"
"youngsters","1043"
"youngster's","41"
"your","1711893"
"you're","225850"
"yours","32621"
"yourself","84061"
"yourselves","3506"
"youth","14084"
"youthful","828"
"youths","873"
"you've","68786"
"yowl","76"
"Yucatan","302"
"yucca","283"
"Yugoslav","3395"
"Yugoslavia","6875"
"Yugoslavian","169"
"yuletide","40"
"Zaire","561"
"Zambia","288"
"zany","288"
"zap","3385"
"zeal","700"
"Zealand","13848"
"zealot","1282"
"zealotry","62"
"zealous","367"
"zealously","188"
"zebra","915"
"zeitgeist","111"
"Zen","2901"
"zenith","2141"
"zephyr","2034"
"zeppelin","1526"
"zero","21278"
"zeroed","156"
"zeros","898"
"zest","288"
"zigzag","110"
"zigzagging","16"
"Zimbabwe","1591"
"zinc","1773"
"zing","220"
"Zion","931"
"zip","16636"
"zipped","1485"
"zipper","1245"
"zippy","550"
"zodiac","1098"
"zodiacal","109"
"zombie","4439"
"zombies","2588"
"zone","17300"
"zoned","186"
"zones","3388"
"zoning","819"
"zoo","4317"
"where'd","423"
"wherefore","199"
"wherefores","36"
"wherein","2160"
"where'll","5"
"whereof","255"
"whereon","19"
"where're","23"
"where's","4409"
"wheresoever","16"
"whereto","6"
"where've","41"
"wherever","6480"
"wherewith","49"
"whereupon","538"
"wherewithal","132"
"whet","128"
"whether","112151"
"whetstone","140"
"whetted","55"
"whey","263"
"which","980925"
"whichever","3305"
"whichsoever","0"
"whiff","348"
"whig","86"
"whigs","168"
"while","284228"
"whilst","4484"
"whim","1623"
"whimper","489"
"whimpering","432"
"whims","767"
"whimsey","25"
"whimsical","335"
"whimsy","141"
"whine","3757"
"whined","541"
"whining","5294"
"whinnied","10"
"whinny","37"
"whip","4961"
"whiplash","226"
"whiplashes","5"
"whipped","2097"
"whippersnapper","223"
"whippet","114"
"whipping","1603"
"whippoorwill","1373"
"whips","1144"
"whip's","14"
"whir","59"
"whirl","387"
"whirled","370"
"whirligig","17"
"whirling","2788"
"whirlpool","435"
"whirlwind","598"
"whirlwind's","1"
"whirring","174"
"whisk","300"
"whisked","179"
"whisker","93"
"whiskered","14"
"whiskers","437"
"whiskey","1364"
"whisking","55"
"whisky","620"
"whisper","1759"
"whispered","2772"
"whisperer","25"
"whispering","940"
"whisperings","18"
"whispers","1256"
"whistle","2672"
"whistled","283"
"whistling","748"
"white","149742"
"whitecap","21"
"whitehaired","0"
"whitehead","543"
"whitehead's","32"
"whitely","24"
"whiten","78"
"whitened","152"
"whiteness","206"
"whitening","2023"
"whitens","0"
"whites","6975"
"white's","681"
"whitetail","186"
"whitewash","195"
"whitewashed","168"
"whither","149"
"whiting","401"
"Whitman","1518"
"Whitman's","93"
"Whitney","1830"
"whittle","467"
"whiz","865"
"whizzed","45"
"whizzing","140"
"who","931859"
"whoa","2476"
"who'd","2412"
"whodunit","55"
"whoever","10993"
"whole","120697"
"wholeheartedly","1505"
"wholemeal","66"
"wholeness","190"
"wholes","63"
"wholesale","4518"
"wholesalers","556"
"wholesome","572"
"wholewheat","13"
"who'll","1088"
"wholly","3258"
"whom","28333"
"whomever","1603"
"whomsoever","49"
"whoop","292"
"whoopee","161"
"whooping","370"
"whoosh","205"
"whopper","268"
"whoppers","125"
"whopping","747"
"whore","2885"
"who're","272"
"whorehouse","152"
"whoremonger","12"
"whores","698"
"whorl","29"
"whorls","76"
"who's","23501"
"whose","40623"
"who've","2839"
"why","361343"
"why'd","228"
"why'll","1"
"whosoever","564"
"why're","17"
"why's","329"
"why've","1"
"Wichita","1242"
"wick","559"
"wicked","4211"
"wickedly","304"
"wickedness","397"
"wicker","380"
"wickerwork","27"
"wicket","1099"
"wickets","884"
"wide","63297"
"widely","13343"
"widen","629"
"widened","608"
"widens","118"
"wider","5908"
"widespread","5621"
"widest","874"
"widow","1887"
"widowed","268"
"widower","149"
"widowhood","36"
"widows","542"
"width","7473"
"widths","631"
"wield","649"
"wielded","342"
"wielder","395"
"wieners","29"
"wife","38746"
"wifely","17"
"wife's","2703"
"wig","961"
"wiggle","1025"
"wiggled","448"
"wiggling","520"
"wigmaker","1"
"wigwam","69"
"Wilbur","786"
"wild","23869"
"wildcat","2081"
"wildcatter","2"
"wildebeest","48"
"wilder","962"
"wilderness","3733"
"wildest","794"
"wildfire","794"
"wildfowl","21"
"wildlife","4582"
"wildly","2630"
"wildness","84"
"wile","284"
"wiles","606"
